,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
685,2020-10-23,345.93,345.99,343.13,345.78,331.854706,49285125,49143900,-0.15,-0.04336137,344.89,"October 23, 20",-0.0004336137
686,2020-10-22,342.96,345.24,340.65,344.61,330.731842,55553305,55399300,1.65,0.48111,343.41,"October 22, 20",0.0048111
687,2020-10-21,343.33,348.6847,342.4,342.73,328.927582,63701022,63575000,-0.6,-0.17476,343.67,"October 21, 20",-0.0017476
688,2020-10-20,343.46,346.88,342.64,343.38,329.551392,60198355,60051900,-0.08,-0.02329238,344.3,"October 20, 20",-0.0002329238
689,2020-10-19,348.65,349.33,341.04,342.01,328.236542,68654735,68425600,-6.64,-1.9,344.4,"October 19, 20",-0.019
690,2020-10-16,348.96,350.75,347.1,347.29,333.303894,89764929,89501900,-1.67,-0.47856,348.4,"October 16, 20",-0.0047856
691,2020-10-15,343.71,348.02,343.13,347.5,333.505402,60516632,60357700,3.79,1.1,346.07,"October 15, 20",0.011
692,2020-10-14,350.75,351.93,347.14,347.93,333.918121,57902810,57727900,-2.82,-0.80399,348.91,"October 14, 20",-0.0080399
693,2020-10-13,352.28,352.4651,349.09,350.13,336.029541,73116080,73255500,-2.15,-0.61031,351.24,"October 13, 20",-0.0061031
694,2020-10-12,349.59,354.02,349.06,352.43,338.236938,79852096,80388500,2.84,0.81238,351.49,"October 12, 20",0.0081238
695,2020-10-09,345.56,347.35,344.89,346.85,332.881592,59728963,59528600,1.29,0.37331,346.11,"October 09, 20",0.0037331
696,2020-10-08,342.85,343.85,341.86,343.78,329.935242,45411768,45242500,0.93,0.27126,343.19,"October 08, 20",0.0027126
697,2020-10-07,338.12,341.63,338.09,340.76,327.036865,57169467,56999600,2.64,0.78079,340.01,"October 07, 20",0.0078079
698,2020-10-06,339.91,342.17,334.38,334.93,321.441681,89976445,90128900,-4.98,-1.47,337.73,"October 06, 20",-0.0147
699,2020-10-05,336.06,339.96,336.01,339.76,326.077148,45887754,45713100,3.7,1.1,338.32,"October 05, 20",0.011
700,2020-10-02,331.7,337.0126,331.19,333.84,320.395569,89599433,89431100,2.14,0.64516,334.39,"October 02, 20",0.0064516
701,2020-10-01,337.69,338.74,335.01,337.04,323.466766,88920514,88698700,-0.65,-0.19248,336.47,"October 01, 20",-0.0019248
702,2020-09-30,333.09,338.29,332.88,334.89,321.40329,103984655,104081100,1.8,0.54039,335.23,"September 30, 20",0.0054039
703,2020-09-29,333.97,334.77,331.6209,332.37,318.984772,51672107,51304000,-1.6,-0.47908,333.05,"September 29, 20",-0.0047908
704,2020-09-28,333.22,334.96,332.15,334.19,320.731445,64606703,64584600,0.97,0.2911,333.42,"September 28, 20",0.002911
705,2020-09-25,322.58,329.58,321.64,328.73,315.491364,71197640,71069400,6.15,1.91,326.17,"September 25, 20",0.0191
706,2020-09-24,321.22,326.797,319.8,323.5,310.471954,76811301,76681300,2.28,0.70979,323.39,"September 24, 20",0.0070979
707,2020-09-23,330.9,331.2,322.1,322.64,309.646576,92774530,93112200,-8.26,-2.5,325.88,"September 23, 20",-0.025
708,2020-09-22,328.57,330.9,325.86,330.3,316.998138,63772743,63612100,1.73,0.52652,328.59,"September 22, 20",0.0052652
709,2020-09-21,325.7,327.13,321.73,326.97,313.802277,99426745,99450800,1.27,0.38993,324.59,"September 21, 20",0.0038993
710,2020-09-18,335.37,335.49,327.97,330.65,317.334015,106074745,105877900,-4.72,-1.41,332.06,"September 18, 20",-0.0141
711,2020-09-17,333.56,337.6996,332.991,335.84,321.029968,91738710,91523300,2.28,0.68354,335.43,"September 17, 20",0.0068354
712,2020-09-16,341.51,343.06,338.52,338.82,323.878601,82068163,82096000,-2.69,-0.78768,340.6,"September 16, 20",-0.0078768
713,2020-09-15,341.12,342.02,339.02,340.17,325.169067,52355231,52920900,-0.95,-0.27849,340.68,"September 15, 20",-0.0027849
714,2020-09-14,337.49,340.38,336.93,338.46,323.534393,65104879,65605700,0.97,0.28742,338.43,"September 14, 20",0.0028742
715,2020-09-11,335.82,336.97,331.0,334.06,319.32843,84816970,84680200,-1.76,-0.52409,334.18,"September 11, 20",-0.0052409
716,2020-09-10,341.82,342.53,332.85,333.89,319.165924,90738327,90569500,-7.93,-2.32,337.38,"September 10, 20",-0.0232
717,2020-09-09,337.55,342.46,336.61,339.79,324.805756,90617927,91462300,2.24,0.66361,339.31,"September 09, 20",0.0066361
718,2020-09-08,336.71,342.64,332.88,333.21,318.51593,114050451,114465300,-3.5,-1.04,335.94,"September 08, 20",-0.0104
719,2020-09-04,346.13,347.83,334.87,342.57,327.463196,139538064,139156300,-3.56,-1.03,341.76,"September 04, 20",-0.0103
720,2020-09-03,355.87,356.38,342.59,345.39,330.158844,148134474,148011100,-10.48,-2.94,348.2,"September 03, 20",-0.0294
721,2020-09-02,354.67,358.75,353.43,357.7,341.925964,68758070,69540000,3.03,0.85432,356.0,"September 02, 20",0.0085432
722,2020-09-01,350.21,352.71,349.24,352.6,337.050873,55135897,54908700,2.39,0.68245,351.08,"September 01, 20",0.0068245
723,2020-08-31,350.35,351.3,349.06,349.31,333.905975,66243333,66099200,-1.04,-0.29685,350.26,"August 31, 20",-0.0029685
724,2020-08-28,349.44,350.72,348.15,350.58,335.119934,46897358,48588900,1.14,0.32624,349.51,"August 28, 20",0.0032624
725,2020-08-27,348.51,349.9,346.53,348.33,332.969177,58207591,58034100,-0.18,-0.05164845,348.58,"August 27, 20",-0.0005164845
726,2020-08-26,344.76,347.86,344.17,347.57,332.242737,50899056,50790200,2.81,0.81506,346.43,"August 26, 20",0.0081506
727,2020-08-25,343.53,344.21,342.27,344.12,328.944855,38644012,38463400,0.59,0.17175,343.39,"August 25, 20",0.0017175
728,2020-08-24,342.12,343.0,341.06,342.92,327.797791,48780467,48588700,0.8,0.23384,341.94,"August 24, 20",0.0023384
729,2020-08-21,337.92,339.72,337.55,339.48,324.509399,55253282,55106600,1.56,0.46165,338.77,"August 21, 20",0.0046165
730,2020-08-20,335.36,338.8,335.22,338.28,323.362366,42408654,42207800,2.92,0.87071,337.47,"August 20, 20",0.0087071
731,2020-08-19,339.05,339.61,336.62,337.23,322.358643,68215296,68054200,-1.82,-0.53679,338.21,"August 19, 20",-0.0053679
732,2020-08-18,338.34,339.1,336.61,338.64,323.706512,38627631,38733900,0.3,0.0886682,338.32,"August 18, 20",0.000886682
733,2020-08-17,337.94,338.34,337.48,337.91,323.008667,35092877,35481000,-0.03,-0.00887732,337.85,"August 17, 20",-8.87732e-05
734,2020-08-14,336.41,337.42,335.62,336.84,321.98584,47275032,47260400,0.43,0.12782,336.67,"August 14, 20",0.0012782
735,2020-08-13,336.61,338.2514,335.83,336.83,321.976227,41853055,41816100,0.22,0.06535754,337.21,"August 13, 20",0.0006535754
736,2020-08-12,335.44,338.28,335.43,337.44,322.559387,53570574,53774400,2.0,0.59623,336.73,"August 12, 20",0.0059623
737,2020-08-11,336.85,337.54,332.01,332.8,318.124054,69754397,69601100,-4.05,-1.2,335.22,"August 11, 20",-0.012
738,2020-08-10,335.06,335.77,332.955,335.57,320.771851,44333776,44282100,0.51,0.15221,334.98,"August 10, 20",0.0015221
739,2020-08-07,333.28,334.88,332.3,334.57,319.815979,57413935,57308300,1.29,0.38706,333.8,"August 07, 20",0.0038706
740,2020-08-06,331.4799,334.46,331.13,334.33,319.586487,43527444,43679400,2.8501,0.85981,332.93,"August 06, 20",0.0085981
741,2020-08-05,331.47,332.39,331.18,332.11,317.464417,43050953,42697700,0.64,0.19308,331.79,"August 05, 20",0.0019308
742,2020-08-04,327.86,330.06,327.86,330.06,315.504852,42035020,41917900,2.2,0.67102,329.05,"August 04, 20",0.0067102
743,2020-08-03,328.32,329.62,327.73,328.79,314.290863,52878837,53077900,0.47,0.14315,328.66,"August 03, 20",0.0014315
744,2020-07-31,325.9,326.63,321.33,326.52,312.12088,84631971,84986800,0.62,0.19024,324.51,"July 31, 20",0.0019024
745,2020-07-30,321.9,324.41,319.64,323.96,309.673828,61400077,61861700,2.06,0.63995,322.84,"July 30, 20",0.0063995
746,2020-07-29,322.12,325.73,322.075,325.12,310.782684,48578172,48454200,3.0,0.93133,323.93,"July 29, 20",0.0093133
747,2020-07-28,322.43,323.64,320.85,321.17,307.006866,56620376,57495000,-1.26,-0.39078,322.44,"July 28, 20",-0.0039078
748,2020-07-27,321.63,323.41,320.775,323.22,308.966461,48212747,48293000,1.59,0.49436,322.38,"July 27, 20",0.0049436
749,2020-07-24,320.95,321.99,319.246,320.88,306.729645,72946759,73766600,-0.07,-0.02181025,320.91,"July 24, 20",-0.0002181025
750,2020-07-23,326.47,327.23,321.48,322.96,308.717896,75841843,75738000,-3.51,-1.08,324.34,"July 23, 20",-0.0108
751,2020-07-22,324.62,327.2,324.5,326.86,312.445984,57917101,57792900,2.24,0.69004,325.87,"July 22, 20",0.0069004
752,2020-07-21,326.45,326.93,323.94,325.01,310.677551,57691215,57292200,-1.44,-0.44111,325.63,"July 21, 20",-0.0044111
753,2020-07-20,321.43,325.13,320.62,324.32,310.017975,56484683,56308800,2.89,0.89911,323.15,"July 20, 20",0.0089911
754,2020-07-17,321.88,322.57,319.735,321.72,307.532593,62891185,62774900,-0.16,-0.04970797,321.54,"July 17, 20",-0.0004970797
755,2020-07-16,319.79,321.28,319.09,320.79,306.643616,54819339,54622500,1.0,0.31271,320.16,"July 16, 20",0.0031271
